ra,dec,id,name,mag,bv
26.524167,-50.816389, 519,HR 519,5.49,1.6
26.52625,-53.521944, 520,HR 520,5.04,0.04
27.162083,37.952778, 521,HR 521,5.94,0.97
27.045417,16.955556, 522,  4    Ari,5.84,-0.03
27.173333,32.690278, 523,HR 523,5.79,0.55
24.366667,-84.769722, 525,HR 525,5.69,0.94
27.315417,47.896944, 526,HR 526,5.82,0.29
27.108333,3.685556, 527,HR 527,5.91,0.97
27.737917,51.933333, 529,HR 529,5.9,0.43
27.535417,22.275278, 530,  1    Ari,5.86,0.74
27.39625,-10.686389, 531, 53Chi Cet,4.67,0.33
27.997083,55.1475, 533,  1    Per,5.52,-0.18
27.716667,11.043333, 534,HR 534,5.94,0.3
28.039167,50.792778, 536,  2    Per,5.79,-0.07
27.865,-10.335, 539, 55Zet Cet,3.73,1.14
27.727083,-50.206111, 541,HR 541,5.94,0.14
28.59875,63.67, 542, 45Eps Cas,3.38,-0.15
28.322083,40.729722, 543, 55    And,5.4,1.32
28.270417,29.578889, 544,  2Alp Tri,3.41,0.49
28.3825,19.295833, 545,  5Gam1Ari,4.83,
28.3825,19.293611, 546,  5Gam2Ari,4.75,-0.04
28.217083,-16.929167, 547,HR 547,5.8,0.27
29.0,68.685278, 548, 46Ome Cas,4.99,-0.1
28.38875,3.1875, 549,111Xi  Psc,4.62,0.94
28.66,20.808056, 553,  6Bet Ari,2.64,0.13
28.411667,-46.3025, 555,   Psi Phe,4.41,1.59
28.976667,37.277778, 556,HR 556,5.89,1.63
29.03875,37.251667, 557, 56    And,5.67,1.06
28.591667,-42.496944, 558,   Phi Phe,5.11,-0.06
28.9625,23.577222, 559,  7    Ari,5.74,1.19
29.337917,17.8175, 563,  8Iot Ari,5.1,0.92
29.4325,27.804444, 564,HR 564,5.82,1.6
29.1675,-22.526944, 565, 56    Cet,4.85,1.42
28.989583,-51.608889, 566,   Chi Eri,3.7,0.85
29.908333,64.621389, 567,HR 567,5.26,0.01
29.64,49.204167, 568,  3    Per,5.69,1.01
29.482083,23.596111, 569,  9Lam Ari,4.79,0.28
28.73375,-67.647222, 570,   Eta2Hyi,4.69,0.95
29.291667,-47.385, 574,HR 574,4.83,0.88
30.489167,70.906944, 575, 48    Cas,4.54,0.16
29.89875,21.058333, 577,HR 577,5.87,1.03
30.85875,72.421389, 580, 50    Cas,3.98,-0.01
31.280833,77.281389, 581, 47    Cas,5.38,0.31
30.038333,3.097222, 582,112    Psc,5.88,0.62
29.942083,-20.824444, 583, 57    Cet,5.41,1.65
30.00125,-21.077778, 585, 59Ups Cet,4.0,1.57
30.719583,64.901389, 586, 52    Cas,6.0,0.03
30.112083,-8.523611, 587,HR 587,5.51,1.52
29.911667,-42.030556, 588,HR 588,5.57,1.06
30.75125,64.39, 589, 53    Cas,5.58,0.38
30.575417,54.4875, 590,  4    Per,5.04,-0.08
29.6925,-61.569722, 591,   Alp Hyi,2.86,0.28
31.38,76.115, 592, 49    Cas,5.22,0.95
30.31125,-30.001667, 594,   Pi  For,5.35,0.88
30.511667,2.763611, 595,113Alp Psc,5.23,
30.511667,2.763611, 596,113Alp Psc,4.33,0.03
30.741667,33.283889, 599,  3Eps Tri,5.5,0.03
30.646667,13.476667, 601,HR 601,5.94,1.59
30.426667,-44.713611, 602,   Chi Phe,5.14,1.49
30.975,42.329722, 603, 57Gam1And,2.26,1.37
30.977917,42.330833, 604, 57Gam2And,4.84,0.03
30.91375,25.935556, 605, 10    Ari,5.63,0.54
30.79875,0.128333, 607, 60    Cet,5.43,0.15
30.744167,-15.305833, 608,HR 608,5.86,0.98
30.950833,-0.340278, 610, 61    Cet,5.93,0.88
30.91875,-4.103611, 611,HR 611,5.62,1.59
31.1225,-29.296944, 612,   Nu  For,4.69,-0.17
31.64125,22.648333, 613, 12Kap Ari,5.03,0.11
31.793333,23.4625, 617, 13Alp Ari,2.0,1.15
32.16875,58.423611, 618,HR 618,5.67,0.61
32.122083,37.859167, 620, 58    And,4.82,0.12
32.385833,34.987222, 622,  4Bet Tri,3.0,0.14
32.355417,25.939722, 623, 14    Ari,4.98,0.33
32.72,39.039444, 628, 59    And,5.63,-0.02
32.656667,19.500278, 631, 15    Ari,5.7,1.65
32.28875,-43.516667, 632,HR 632,5.85,1.19
32.837917,8.569722, 635, 64    Cet,5.63,0.56
32.899167,-1.825278, 639, 63    Cet,5.93,0.97
33.092917,30.303056, 642,  6    Tri,4.94,0.78
33.305417,44.231667, 643, 60    And,4.83,1.48
33.15625,24.167778, 644,HR 644,5.96,1.37
33.40125,51.065833, 645,HR 645,5.31,0.93
33.200417,21.210833, 646, 17Eta Ari,5.27,0.43
33.26375,15.279722, 648, 19    Ari,5.71,1.55
